contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,SuicidalContract,stop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,EtherLeak,stop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,EtherLeak,kill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,EtherLeak,withdrawFunds,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x612f1bdbe93523b7f5036efa87493b76341726e3,EtherLeak,withdraw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x724e3a236d3e9c8ad2c3d1aff181118e6e9b3026,EtherLeak,withdraw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x7bd9084fdd5d021c226918d86c0721cb088b9b4a,EtherLeak,multiSendEth,67,67,67,65,67,67,49,66,66,67,66,66,67,67,67,49,66,66,66,67,64,66,65,67,67,66,66,67,66,66,67,66,49,66,66,67,50,49,49,64
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_1,EtherLeak,transferEtherToOwner,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,4,4,6,4,6,5,4,6
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_3,SuicidalContract,destoryContract,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_3,EtherLeak,destoryContract,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_3,EtherLeak,transferEtherToOwner,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
0x8e9f6181371013194d48bc031adf7fe179fb37e3,EtherLeak,withdraw,11,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
0x95195adFb67f28AcFC07CE09eb496188527C0303_2,SuicidalContract,kill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x95195adFb67f28AcFC07CE09eb496188527C0303_3,SuicidalContract,kill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x95195adFb67f28AcFC07CE09eb496188527C0303_3,EtherLeak,kill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_1,EtherLeak,withdrawFunds,9,13,13,13,13,13,13,13,13,13,13,13,13,13,9,13,13,N/A,13,13,13,13,13,13,13,13,13,13,13,9,13,13,13,13,13,13,13,13,13,13
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_1,EtherLeak,finish,9,13,13,13,13,13,13,13,13,13,13,13,13,13,9,13,13,N/A,13,13,13,13,13,13,13,13,13,13,13,9,13,13,13,13,13,13,13,13,13,13
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_3,EtherLeak,withdrawFunds,40,38,39,39,39,39,39,39,39,39,39,28,39,29,39,39,39,39,38,39,39,40,39,39,39,29,39,39,39,28,39,39,39,39,39,39,39,39,28,39
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_3,EtherLeak,withdraw,40,38,39,39,39,39,39,39,39,39,39,28,39,29,39,39,39,39,38,39,39,40,39,39,39,29,39,39,39,28,39,39,39,39,39,39,39,39,28,39
0xa78a974b487357ad5c17a072dfee4d31b839b331_1,EtherLeak,bigCheckOut,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xa78a974b487357ad5c17a072dfee4d31b839b331_1,EtherLeak,sendAll,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xa78a974b487357ad5c17a072dfee4d31b839b331_1,EtherLeak,smallCheckOut,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,SuicidalContract,kill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,EtherLeak,bigCheckOut,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,EtherLeak,sendAll,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
