contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0x43f208d94a82cc2749a140b5e82636f31ce0390d,EtherLeak,winnerReward,60,11,10,10,15,9,10,10,33,40,10,13,10,12,26,10,10,22,11,10,11,11,24,11,10,10,10,13,27,11,7,8,25,10,14,10,17,10,23,21
0x43f208d94a82cc2749a140b5e82636f31ce0390d,EtherLeak,loser,60,11,10,10,15,9,10,10,33,40,10,13,10,12,26,10,10,22,11,10,11,11,24,11,10,10,10,13,27,11,7,8,25,10,14,10,17,10,23,21
0x528732d7ff76a31bd419f1d57d549d7643c02db2_1,EtherLeak,payTokens,450,6617,N/A,407,4063,352,N/A,3324,347,N/A,266,N/A,1861,371,N/A,4557,N/A,448,4238,N/A,100,212,505,120,N/A,1918,4427,459,N/A,119,N/A,2035,2037,N/A,100,3007,N/A,N/A,N/A,N/A
0x528732d7ff76a31bd419f1d57d549d7643c02db2_3,EtherLeak,payTokens,5341,N/A,N/A,N/A,2049,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6888,N/A,N/A,N/A,2712,N/A,N/A,N/A,N/A,N/A,N/A
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_1,SuicidalContract,stop,5,3,4,5,4,4,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,6,4,5,5,5,5,5,5,5,5,5,4,4,6,5,5,6,6
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_1,EtherLeak,stop,23,24,22,41,35,26,45,29,29,27,21,25,48,37,22,26,52,42,29,41,58,20,32,47,25,52,46,23,5,6,63,32,42,28,21,28,19,47,33,28
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_1,EtherLeak,kill,23,24,22,41,35,26,45,29,29,27,21,25,48,37,22,26,52,42,29,41,58,20,32,47,25,52,46,23,5,6,63,32,42,28,21,28,19,47,33,28
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_1,EtherLeak,withdrawFunds,23,24,22,41,35,26,45,29,29,27,21,25,48,37,22,26,52,42,29,41,58,20,32,47,25,52,46,23,5,6,63,32,42,28,21,28,19,47,33,28
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_2,SuicidalContract,stop,2,2,2,2,2,4,2,2,4,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,SuicidalContract,stop,22,5,25,17,17,35,36,23,19,18,33,43,23,15,41,32,22,20,25,5,40,25,21,21,22,20,40,22,20,79,31,23,19,20,41,8,18,27,25,25
