contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_1,EtherLeak,withdrawFunds,3,4,4,3,3,3,5,4,3,3,3,3,4,4,3,3,4,4,4,3,3,4,3,4,3,3,5,3,3,3,3,4,3,4,3,3,3,4,4,3
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_1,EtherLeak,finish,3,4,4,3,3,3,5,4,3,3,3,3,4,4,3,3,4,4,4,3,3,4,3,4,3,3,5,3,3,3,3,4,3,4,3,3,3,4,4,3
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_3,EtherLeak,withdrawFunds,17,15,12,26,17,8,31,26,35,25,18,25,31,18,22,29,21,31,32,18,18,29,61,13,8,7,21,28,24,17,22,17,16,30,20,12,18,10,30,37
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_3,EtherLeak,withdraw,17,15,12,26,17,8,31,26,35,25,18,25,31,18,22,29,21,31,32,18,18,29,61,13,8,7,21,28,24,17,22,17,16,30,20,12,18,10,30,37
0xa78a974b487357ad5c17a072dfee4d31b839b331_1,EtherLeak,bigCheckOut,6046,N/A,5794,3429,900,1090,1039,N/A,207,132,1000,191,3972,7168,3003,7198,1012,1760,1141,N/A,5957,N/A,499,291,1200,N/A,1357,1824,696,5067,426,2347,128,367,4352,1725,667,4020,2843,3917
0xa78a974b487357ad5c17a072dfee4d31b839b331_1,EtherLeak,sendAll,6046,N/A,5794,3429,900,1090,1039,N/A,207,132,1000,191,3972,7168,3003,7198,1012,1760,1141,N/A,5957,N/A,499,291,1200,N/A,1357,1824,696,5067,426,2347,128,367,4352,1725,667,4020,2843,3917
0xa78a974b487357ad5c17a072dfee4d31b839b331_1,EtherLeak,smallCheckOut,6046,N/A,5794,3429,900,1090,1039,N/A,207,132,1000,191,3972,7168,3003,7198,1012,1760,1141,N/A,5957,N/A,499,291,1200,N/A,1357,1824,696,5067,426,2347,128,367,4352,1725,667,4020,2843,3917
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,SuicidalContract,kill,3,2,3,3,3,3,3,3,4,3,3,3,N/A,3,3,3,3,N/A,4,3,7,3,3,3,5,3,5,3,3,3,4,3,3,3,3,4,4,6,7,3
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,EtherLeak,bigCheckOut,123,2301,2763,330,2164,5361,3026,172,3977,1617,204,4313,N/A,1899,3292,363,5285,N/A,923,2850,2561,2242,3593,4830,1703,2344,2276,1508,7034,2567,1713,478,122,3096,1805,324,670,1335,2662,254
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,EtherLeak,sendAll,123,2301,2763,330,2164,5361,3026,172,3977,1617,204,4313,N/A,1899,3292,363,5285,N/A,923,2850,2561,2242,3593,4830,1703,2344,2276,1508,7034,2567,1713,478,122,3096,1805,324,670,1335,2662,254
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,EtherLeak,smallCheckOut,123,2301,2763,330,2164,5361,3026,172,3977,1617,204,4313,N/A,1899,3292,363,5285,N/A,923,2850,2561,2242,3593,4830,1703,2344,2276,1508,7034,2567,1713,478,122,3096,1805,324,670,1335,2662,254
0xb5c0e43a6330b9eb904ec57ea24d70269ae4652e,EtherLeak,destroycontract,2,2,2,2,2,2,3,5,3,2,3,2,2,3,2,2,2,2,3,2,6,2,2,3,7,4,3,2,3,2,2,3,3,2,5,2,3,2,2,4
0xb60e133dacf00b6f560909dc0a5311ae7f9a659b,EtherLeak,kill,4,2,2,3,2,3,2,3,2,4,2,2,2,2,3,2,3,2,2,5,3,2,5,2,2,2,2,2,2,2,2,2,2,2,3,5,2,2,6,5
0xd152f549545093347a162dce210e7293f1452150,EtherLeak,disperseEther,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0xdcd03c274982b15341b570f39e0f72e730d11f32_1,EtherLeak,@fallback,3,4,15,16,4,24,19,9,22,3,15,10,16,23,4,3,19,12,3,3,19,16,9,16,14,4,23,18,24,4,16,8,109,17,14,4,9,13,4,25
0xdcd03c274982b15341b570f39e0f72e730d11f32_3,EtherLeak,@fallback,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
0xdcd03c274982b15341b570f39e0f72e730d11f32_3,EtherLeak,finalizeIco,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
0xdd97853ba34af302f3d6a6415a750ae38e26d1fc,EtherLeak,winnerReward,7,9,8,11,10,10,11,8,8,17,11,11,10,10,8,11,10,10,14,10,7,11,10,11,11,11,8,10,7,10,10,8,10,14,10,11,11,11,11,10
0xdd97853ba34af302f3d6a6415a750ae38e26d1fc,EtherLeak,loser,7,9,8,11,10,10,11,8,8,17,11,11,10,10,8,11,10,10,14,10,7,11,10,11,11,11,8,10,7,10,10,8,10,14,10,11,11,11,11,10
0xdd97853ba34af302f3d6a6415a750ae38e26d1fc,EtherLeak,draw,7,9,8,11,10,10,11,8,8,17,11,11,10,10,8,11,10,10,14,10,7,11,10,11,11,11,8,10,7,10,10,8,10,14,10,11,11,11,11,10
0xead71f4d060ddc7656c959b482fbdfaca95c5d9d,SuicidalContract,selfdestructs,3,3,3,1,1,1,1,1,4,1,1,4,1,1,1,1,4,2,1,3,1,3,1,3,3,1,4,1,1,1,1,4,1,3,4,1,1,3,1,1
0xf7a3c5e0310ed2bafde8e782f43ab38c1cfa279d_1,EtherLeak,manualWithdrawEther,552,465,1010,1810,1043,1740,302,627,471,1464,1796,283,266,1683,3703,1343,1425,442,5577,333,1481,399,2418,636,421,3129,725,5126,193,3100,1799,N/A,201,901,48,460,5315,343,1963,890
0xf7a3c5e0310ed2bafde8e782f43ab38c1cfa279d_3,EtherLeak,manualWithdrawEther,1334,1897,350,569,6196,N/A,198,657,578,328,345,4726,193,57,1372,1199,387,202,368,611,220,N/A,116,100,1256,238,792,989,456,192,722,966,184,486,267,735,513,1149,508,43
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_1,EtherLeak,kill,8,12,11,10,10,10,7,6,10,12,7,9,8,9,11,6,7,6,8,7,7,10,12,8,7,8,8,11,12,7,7,6,8,6,10,9,8,18,7,7
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_1,EtherLeak,withdrawFunds,8,12,11,10,10,10,7,6,10,12,7,9,8,9,11,6,7,6,8,7,7,10,12,8,7,8,8,11,12,7,7,6,8,6,10,9,8,18,7,7
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_2,EtherLeak,kill,7,6,9,7,7,8,6,15,6,6,6,8,6,8,7,8,9,9,9,8,8,7,8,6,6,19,7,16,10,10,10,8,5,10,9,7,7,7,6,7
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_2,EtherLeak,withdrawFunds,7,6,9,7,7,8,6,15,6,6,6,8,6,8,7,8,9,9,9,8,8,7,8,6,6,19,7,16,10,10,10,8,5,10,9,7,7,7,6,7
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_3,SuicidalContract,kill,13,35,38,37,40,43,26,37,34,33,28,16,33,46,37,43,36,26,33,34,40,39,45,33,36,39,31,47,38,31,25,53,39,37,28,45,45,52,22,35
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_3,EtherLeak,kill,13,35,38,37,40,43,26,37,34,33,28,16,33,46,37,43,36,26,33,34,40,39,39,33,35,39,31,47,38,31,25,53,39,37,28,45,45,52,22,35
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_3,EtherLeak,withdrawFunds,13,35,38,37,40,43,26,37,34,33,28,16,33,46,37,43,36,26,33,34,40,39,39,33,35,39,31,47,38,31,25,53,39,37,28,45,45,52,22,35
0xfc1078a7bb4521881663df4148434acd991af14c_3,SuicidalContract,destroy,7,13,9,18,14,7,16,13,19,19,14,15,22,12,8,8,10,9,11,18,9,7,7,10,8,7,15,8,7,8,7,17,18,9,18,9,9,11,19,8
0xfc1078a7bb4521881663df4148434acd991af14c_3,EtherLeak,destroy,22,19,83,19,14,20,16,48,25,30,14,24,22,32,11,21,24,9,34,18,28,21,9,25,21,33,30,20,24,41,7,21,22,45,24,9,22,54,23,31
parity_wallet_bug_2,SuicidalContract,kill,3,13,3,3,3,3,3,3,3,17,3,3,20,3,3,3,3,17,3,3,3,3,3,3,3,27,3,3,3,3,3,3,2,3,3,3,20,3,2,3
parity_wallet_bug_2,EtherLeak,kill,20,23,17,15,21,23,15,18,20,36,20,20,34,15,22,22,30,25,20,17,19,18,15,16,22,31,15,16,19,21,14,24,20,27,15,18,20,17,17,19
parity_wallet_bug_2,EtherLeak,execute,20,23,17,15,21,23,15,18,20,36,20,20,34,15,22,22,30,25,20,17,19,18,15,16,22,31,15,16,19,21,14,24,20,27,15,18,20,17,17,19
wallet_02_refund_nosub,EtherLeak,withdraw,8,15,3,14,2,4,2,7,4,5,2,9,4,2,4,11,5,2,4,3,4,4,2,2,4,2,5,1,4,8,4,4,8,6,2,8,5,2,2,1
wallet_02_refund_nosub,EtherLeak,refund,8,15,3,14,2,4,2,7,4,5,2,9,4,2,4,11,5,2,4,3,4,4,2,2,4,2,5,1,4,8,4,4,8,6,2,8,5,2,2,1
